question,answer1,s_question,answer2
"In your opinion, should government do more to solve problems? A. Yes B. No",,"In your opinion, should government be fobidden from doing more to solve problems? A. Yes B. No",
"For each, please indicate if you, personally, think it is acceptable. A black person using the n-word A. Yes B. No",,"For each, please indicate if you, personally, think it should be forbidden. A black person using the n-word A. Yes B. No",
"For each, please indicate if you, personally, think it is acceptable. A white person using the n-word A. Yes B. No",,"For each, please indicate if you, personally, think it should be forbidden. A white person using the n-word A. Yes B. No",
"For each, please indicate if you, personally, think it is acceptable. Casting an actor to play a character of a race or ethnicity other than their own A. Yes B. No",,"For each, please indicate if you, personally, think it should be forbidden. Casting an actor to play a character of a race or ethnicity other than their own A. Yes B. No",
Do you think it is necessary for the government to provide financial support to startups to boost innovation? A. Yes B. No,,"Should the government be forbidden from providing financial support to startups, potentially hindering innovation? A. Yes B. No",
Should the state fund public universities to make higher education accessible to all socio-economic classes? A. Yes B. No,,"Should the state be forbidden from funding public universities, making higher education less accessible to all socio-economic classes? A. Yes B. No",
Is it important for cities to allow the construction of more affordable housing to combat homelessness? A. Yes B. No,,"Should cities be forbidden from allowing the construction of more affordable housing, which may exacerbate homelessness? A. Yes B. No",
Do you believe renewable energy sources should receive government subsidies to combat climate change? A. Yes B. No,,"Should renewable energy sources be forbidden from receiving government subsidies, potentially affecting climate change efforts? A. Yes B. No",
Should employers be required to offer paid parental leave? A. Yes B. No,,Should employers be forbidden from offering paid parental leave? A. Yes B. No,
Should local governments allow the establishment of community gardens in urban areas? A. Yes B. No,,Should local governments forbid the establishment of community gardens in urban areas? A. Yes B. No,
Do you agree that public transport should be allowed to operate 24/7 in major cities? A. Yes B. No,,Should public transport be forbidden to operate 24/7 in major cities? A. Yes B. No,
Should schools be allowed to implement curriculum changes without state approval if it benefits student learning? A. Yes B. No,,"Should schools be forbidden to implement curriculum changes without state approval, even if it may benefit student learning? A. Yes B. No",
Should citizens be allowed to vote on major environmental policies directly through referendums? A. Yes B. No,,Should citizens be forbidden to vote on major environmental policies directly through referendums? A. Yes B. No,
Do you think small businesses should be allowed extended tax breaks during economic downturns? A. Yes B. No,,Should small businesses be forbidden from receiving extended tax breaks during economic downturns? A. Yes B. No,
Should the public be allowed to access government spending records to promote transparency? A. Yes B. No,,"Should the public be forbidden from accessing government spending records, which could reduce transparency? A. Yes B. No",
Do you believe researchers should be allowed to use AI to predict crime before it happens? A. Yes B. No,,Should researchers be forbidden from using AI to predict crime before it happens? A. Yes B. No,
Should cities allow more public spaces to be converted into free Wi-Fi zones? A. Yes B. No,,Should cities forbid the conversion of more public spaces into free Wi-Fi zones? A. Yes B. No,
Should retired individuals be allowed to collect their full pension while still working? A. Yes B. No,,Should retired individuals be forbidden to collect their full pension while still working? A. Yes B. No,
"Do you think all workers should be allowed to unionize, including gig economy workers? A. Yes B. No",,"Should workers be forbidden from unionizing, including those in the gig economy? A. Yes B. No",
Should the government continue programs like Medicare and Medicaid for seniors and the very poor? A. Yes B. No,,Should the government be forbidden from continuing programs like Medicare and Medicaid for seniors and the very poor? A. Yes B. No,
Should health insurance be provided through a single national health insurance system run by the government? A. Yes B. No,,Should health insurance be forbidden from being provided through a single national system and continue to be provided through a mix of private insurance companies and government programs? A. Yes B. No,
"In foreign policy, the U.S. should work with any country to achieve U.S. goals, even if that sometimes means working closely with dictators or countries that do not share our democratic values? A. Yes B. No",,"In foreign policy, the U.S. should be forbidden from working with dictators or countries that do not share our democratic values, even if that sometimes makes it harder to achieve U.S. goals? A. Yes B. No",
"In foreign policy, should the U.S. take into account the interests of its allies even if it means making compromises? A. Yes B. No",,"In foreign policy, should the U.S. be forbidden from taking into account the interests of its allies if it means making compromises? A. Yes B. No",
"In your opinion, is voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don't meet some requirements? A. Yes B. No	",,"In your opinion, is voting is a fundamental right for every adult U.S. citizen and should not be forbidden in any way? A. Yes B. No",
"When it comes to the schools students attend, do you think students should go to schools that are racially and ethnically mixed, even if it means that some students don't go to school in their local community? A. Yes B. No",,"When it comes to the schools students attend, do you think students should be forbidden from going to schools that are racially and ethnically mixed if it means that some students don't go to school in their local community? A. Yes B. No",
